款号,SKU数量,颜色/码数示例
1600TS20,16,白色;L / 白色;M / 白色;XL
1601TS20,9,薄荷绿;L / 薄荷绿;M / 薄荷绿;XL
1602TS20,9,黑色;L / 黑色;M / 黑色;XL
1603TS20,12,黑色;L / 黑色;M / 黑色;XL
1604TS20,48,白色;L / 白色;M / 白色;XL
1605TS20,12,白色;L / 白色;M / 白色;XL
1606TS20,16,白色;L / 白色;M / 白色;XL
1607TS20,12,白色;L / 白色;M / 白色;XL
1608TS20,12,白色;L / 白色;M / 白色;XL
1609TS20,16,黑色;L / 黑色;M / 黑色;XL
1610TS20,8,粉色;L / 粉色;M / 粉色;XL
1611TS20,8,粉色;L / 粉色;M / 粉色;XL
1612TS20,45,白色;L / 白色;M / 白色;XL
1640GW25,6,黑色;L / 黑色;M / 黑色;S
1641GW25,9,黑色;L / 黑色;M / 黑色;S
1642GW25,6,黑色;L / 黑色;M / 黑色;S
1643GW25,9,黑色;L / 黑色;M / 黑色;S
1644GW25,12,黑色;L / 黑色;M / 黑色;S
1645GW25,9,灰色;L / 灰色;M / 灰色;S
1648GW25,9,卡其;L / 卡其;M / 卡其;S
1649GW25,12,黑色;L / 黑色;M / 黑色;S
1650GW25,3,海军蓝;L / 海军蓝;M / 海军蓝;S
1651GW25,3,白色;L / 白色;M / 白色;S
1652GW25,6,黑色;L / 黑色;M / 黑色;S
1653GW25,3,黄色;L / 黄色;M / 黄色;S
1654GW25,6,浅杏;L / 浅杏;M / 浅杏;S
1655GW25,6,藏青色;L / 藏青色;M / 藏青色;S
1656GW25,3,图片色;L / 图片色;M / 图片色;S
1657GW25,6,白色;L / 白色;M / 白色;S
1660GW25,6,黑色;L / 黑色;M / 黑色;S
1661GW25,6,白色;L / 白色;M / 白色;S
1662GW25,3,黑色;L / 黑色;M / 黑色;S
1663GW25,3,图片色;L / 图片色;M / 图片色;S
1664GW25,3,咖色;L / 咖色;M / 咖色;S
1665GW25,6,白色;L / 白色;M / 白色;S
1666GW25,6,灰色;L / 灰色;M / 灰色;S
1667GW25,3,深灰;L / 深灰;M / 深灰;S
1668GW25,6,白色;L / 白色;S / 黑色;L
1669GW25,6,黑色;L / 黑色;M / 黑色;S
1670GW25,9,灰色;L / 灰色;M / 灰色;S
1672GW25,6,米白;L / 米白;M / 米白;S
1674GW25,3,藏青色;L / 藏青色;M / 藏青色;S
1675GW25,3,图片色;L / 图片色;M / 图片色;S
1676GW25,6,黑色;L / 黑色;M / 黑色;S
1678GW25,3,藏青色;L / 藏青色;M / 藏青色;S
1680GW25,3,黑白;L / 黑白;M / 黑白;S
1681GW25,6,黑白;L / 黑白;M / 黑白;S
1682GW25,3,图片色;L / 图片色;M / 图片色;S
1683GW25,9,灰色;L / 灰色;M / 灰色;S
1684GW25,6,白色;L / 白色;M / 白色;S
1685GW25,6,黑色;L / 黑色;M / 黑色;S
1686GW25,6,白色;L / 白色;M / 白色;S
1689GW25,6,白色;L / 白色;M / 白色;S
1690GW25,12,白色;L / 白色;M / 白色;S
1691GW25,6,白色;L / 白色;M / 白色;S
1692GW25,9,白色;L / 白色;M / 白色;S
1694GW25,3,白色;L / 白色;M / 白色;S
1698GW25,1,碳灰;S
1699GW25,6,黑色;L / 黑色;M / 黑色;S
1800GW25,3,蓝色;L / 蓝色;M / 蓝色;S
1801GW25,9,瓷绿色;L / 瓷绿色;M / 瓷绿色;S
1802GW25,6,黑色;L / 黑色;M / 黑色;S
1802TW20,3,黑色;L / 黑色;M / 黑色;XL
1803GW25,3,灰蓝;L / 灰蓝;M / 灰蓝;S
1804GW25,9,麻灰;L / 麻灰;M / 麻灰;S
1805GW25,3,白色;L / 白色;M / 白色;S
